,0,1,2
0,1.1349373205351867,4.768443579383796,6
1,1.5859049694633283,3.540971749962757,7
2,1.2886906506529106,4.13891260175257,0
3,1.2984152281015209,4.13891247763063,0
4,1.2662332097458286,4.13891260175257,0
5,1.2829288158740788,4.167784343540376,0
6,1.333334308792842,3.635856922838518,5
7,1.3798272444953534,4.023907774152418,1
8,1.2939794063162662,4.138912479815036,0
9,1.3025723941769778,3.641671098931284,7
10,1.2679049676361178,4.13891260175257,0
11,1.2891781603037358,4.138912479815036,0
12,1.282952334958179,4.138912479815036,0
13,1.381918968344849,4.023907774152418,1
14,1.470435266570164,3.784268832523721,2
15,1.2987653519909845,4.138912479815036,0
16,1.2582927422903176,4.138916579028363,1
17,1.382668517398523,4.023907774152418,1
18,1.2887300937654325,4.13891260175257,0
19,1.2652553046397992,4.167360447523883,0
20,1.2678122183953944,4.167360447523883,0
21,1.3120316316889153,3.6414746246950953,6
22,1.3227828412696727,4.13891260175257,0
23,1.2920334820407164,4.138912479815036,0
24,1.2975855860567973,4.13891247763063,0
25,1.381812768778154,4.023907774152418,1
26,1.2666741504662504,4.13891260175257,0
27,1.298788850864146,4.13891247763063,0
28,1.2932569101912423,4.138912479815036,0
29,1.2912035683702905,4.138912479815036,0
30,1.2975855860567973,4.13891247763063,0
31,1.3501857123099479,4.023907774152418,1
32,1.3778296820518825,4.023907774152418,1
33,1.2984651332533248,4.13891247763063,0
34,1.2772705916486013,4.138792748394311,1
35,1.4310492785789497,3.973114180242131,2
36,1.3344342372605666,4.138912479815036,0
37,1.3124531566730118,4.13891260175257,0
38,1.3386519387570006,4.13891260175257,0
39,1.2662218000508272,4.13891260175257,0
40,1.3120316316889153,3.6414746246950953,6
41,1.3923752607500979,3.8681038614856798,2
42,1.279143758715601,4.166463731306301,0
43,1.2816042555998446,4.166463731306301,0
44,1.470435266570164,3.784268832523721,2
45,1.2782540550529868,4.166463728494541,0
46,1.2891781603037358,4.138912479815036,0
47,1.3952309450012423,3.60025860797504,4
48,1.2976858273695515,4.13891260175257,0
49,1.2889300959933303,4.1389124864550775,0
50,1.4027819830596073,4.023907774152418,1
51,1.2841305986200242,4.024953026366835,2
52,1.237597584240259,4.177328422407791,2
53,1.281342014078175,4.166463728494541,0
54,1.4931346775490006,3.60025860797504,3
55,1.2910095566044404,4.13891260175257,0
56,1.2956355241714632,4.13891260175257,0
57,1.4660441183570294,3.60025860797504,3
58,1.2846331597946363,4.13891260175257,0
59,1.2655163382065515,4.167360447523883,0
60,1.2903456619328166,4.138912490025203,0
61,1.3418081358967615,4.023907774152418,1
62,1.3328499671439473,4.138912465861672,0
63,1.3824981042204527,4.023907774152418,1
64,1.2783642160883792,4.166463731306301,0
65,1.2891933051875346,4.138912479815036,0
66,1.2984152281015209,4.13891247763063,0
67,1.4845087976763365,4.138462372800213,1
68,1.494871181467992,4.138462372800213,1
69,1.4163211365202948,3.7787049872873317,3
70,1.3800488672635831,4.023907774152418,1
71,1.3328499223564119,4.138912479815036,0
72,1.5034947774473981,3.737813657675604,3
73,1.2912035683702905,4.138912479815036,0
74,1.2975846184311237,4.13891247763063,0
75,1.2924492904364797,4.138912479815036,0
76,1.3779631510557382,4.023907774152418,1
77,1.4717845602469581,3.7983110342800606,2
78,1.47285183196458,3.784268832523721,2
79,1.3090283475903564,4.13891260175257,0
80,1.2654026530078115,4.167360447523883,0
81,1.282513238447738,4.166463731306301,0
82,1.2668676399803493,4.13891260175257,0
83,1.3724551169992871,4.023907774152418,1
84,1.2891781603037358,4.138912479815036,0
85,1.3811893055337727,4.023907774152418,1
