,id_nr,x,y
0,0,31.250843500000002,3.3098802000000003
1,1,31.2511065,3.30978745
2,2,31.251158750000002,3.3095175
3,3,31.2492869,3.3161131
4,4,31.2497301,3.31723955
5,5,31.25149835,3.30851775
6,6,31.250700700000003,3.3089270500000003
7,7,31.25108195,3.3086262
8,8,31.2510891,3.3087332
9,9,31.25041155,3.3090321
10,10,31.2501464,3.3091182999999997
11,11,31.2498753,3.3092229
12,12,31.2497417,3.31694795
13,13,31.24970555,3.31717775
14,14,31.25049285,3.31025165
15,15,31.2505898,3.310155
16,16,31.251413149999998,3.30989965
17,17,31.251782849999998,3.3090291499999998
18,18,31.2516891,3.30819565
19,19,31.25165685,3.3083
20,20,31.250843500000002,3.3098802000000003
21,21,31.2511065,3.30978745
22,22,31.251158750000002,3.3095175
23,23,31.2492869,3.3161131
24,24,31.35616525,3.2926401
25,25,31.308830450000002,3.37836905
26,26,31.3095374,3.3765306500000003
27,27,31.308648849999997,3.37203615
28,28,31.310133299999997,3.39155365
29,29,31.310239850000002,3.3917443
30,30,31.3102625,3.3917937
31,31,31.3103207,3.3916161000000002
32,32,31.310305999999997,3.3915609499999997
33,33,31.31063685,3.3917544
34,34,31.31067755,3.3914435000000003
35,35,31.3104219,3.39133115
36,36,31.3104987,3.39108255
37,37,31.310435,3.39105965
38,38,31.31022055,3.3908607
39,39,31.310508,3.39091065
40,40,31.3105015,3.3908341
41,41,31.3105613,3.39081865
42,42,31.31080865,3.3910856000000003
43,43,31.310853350000002,3.39091325
44,44,31.310633850000002,3.3906096999999997
45,45,31.31101545,3.3904617999999997
46,46,31.30868105,3.3851231999999998
47,47,31.31011155,3.3914903
48,48,31.3084444,3.3863297
49,49,31.30813045,3.372041
50,50,31.308163399999998,3.37194645
51,51,31.308153150000003,3.37182985
52,52,31.3081,3.3708224500000004
53,53,31.30817715,3.3710272999999997
54,54,31.30809525,3.37105835
55,55,31.30782575,3.3708707
56,56,31.3078864,3.3709908
57,57,31.30784775,3.3710309
58,58,31.30793395,3.37108
59,59,31.3077883,3.3710261
60,60,31.30767205,3.370875
61,61,31.30762675,3.370864
62,62,31.30930325,3.37014185
63,63,31.3092028,3.3681757
64,64,31.30939665,3.3682238499999997
65,65,31.309408599999998,3.3682818
66,66,31.309575799999998,3.3681533
67,67,31.30976055,3.3681555999999997
68,68,31.3093023,3.368392
69,69,31.3091474,3.36846
70,70,31.308709399999998,3.3721935500000004
71,71,31.30948665,3.37242845
72,72,31.3094881,3.37259355
73,73,31.309484599999998,3.37274955
74,74,31.3096557,3.3723897
75,75,31.309894999999997,3.3721961499999997
76,76,31.30954775,3.3719595499999997
77,77,31.30973305,3.3719687
78,78,31.30835085,3.3865233
79,79,31.3082806,3.3864392
80,80,31.308453450000002,3.38650205
81,81,31.308548299999998,3.3865976
82,82,31.291837649999998,3.2906257500000002
83,83,31.2918497,3.290565
84,84,31.29236995,3.2906079
85,85,31.29230665,3.2906537499999997
86,86,31.2923674,3.29065195
87,87,31.292480599999998,3.2906288
88,88,31.2924461,3.2905988500000003
89,89,31.292534699999997,3.2905838000000003
90,90,31.2924228,3.29052905
91,91,31.292289,3.2905490000000004
92,92,31.292375800000002,3.29046535
93,93,31.29263915,3.2904732
94,94,31.2925361,3.2904006
95,95,31.2924902,3.2904144
96,96,31.2922468,3.2903642
97,97,31.292144450000002,3.2903222999999997
98,98,31.2925053,3.2905235
99,99,31.292238400000002,3.29023975
100,100,31.2924078,3.2901157999999997
101,101,31.29238445,3.2902052
102,102,31.29179775,3.29021075
103,103,31.29229515,3.29092275
104,104,31.2928291,3.2904077999999997
105,105,31.3080609,3.37880505
106,106,31.3085034,3.37941675
107,107,31.30862505,3.3794962
108,108,31.30863745,3.3793737
109,109,31.3087095,3.379441
110,110,31.308729999999997,3.3793148000000004
111,111,31.30849655,3.3791289
112,112,31.308493,3.3797628
113,113,31.30837855,3.3797101
114,114,31.3085459,3.379727
115,115,31.30837255,3.3795386499999998
116,116,31.30860785,3.37964045
117,117,31.30867165,3.37958825
118,118,31.3086019,3.3797117500000002
119,119,31.30854525,3.3798256999999996
120,120,31.308449,3.37987865
121,121,31.308378949999998,3.3799036
122,122,31.3083553,3.3800932
123,123,31.308476849999998,3.38009535
124,124,31.30840135,3.38055095
125,125,31.30850735,3.38031285
126,126,31.30857195,3.38080735
127,127,31.308316050000002,3.3810805999999998
128,128,31.30835905,3.3808585
129,129,31.30763675,3.3709879000000003
130,130,31.307661,3.3710962999999996
131,131,31.307805100000003,3.3710981999999996
132,132,31.308105400000002,3.3712607500000003
133,133,31.30802805,3.3712697
134,134,31.30806965,3.3713451
135,135,31.3079605,3.37149945
136,136,31.3079361,3.37154775
137,137,31.30784785,3.37147855
138,138,31.30784345,3.3714136000000003
139,139,31.307709250000002,3.37139845
140,140,31.30773615,3.3713099
141,141,31.30763195,3.3712488499999997
142,142,31.30783895,3.371302
143,143,31.30892875,3.3881069000000004
144,144,31.30945175,3.3883722
145,145,31.30912155,3.3880145
146,146,31.30946815,3.3880572
147,147,31.3095439,3.38808025
148,148,31.3095882,3.3880050500000003
149,149,31.3086708,3.3873134499999997
150,150,31.30887225,3.3872723000000002
151,151,31.3090476,3.3872999999999998
152,152,31.3091244,3.3872775500000003
153,153,31.3091978,3.3873267
154,154,31.30915535,3.3874356
155,155,31.30922365,3.38744385
156,156,31.3096657,3.3876720000000002
157,157,31.30974845,3.38761725
158,158,31.309833349999998,3.3877393
159,159,31.31041355,3.3876257499999998
160,160,31.3108395,3.38749685
